META; english/championship/leeds-v-cardiff; 2017-02-05 00:20:49 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 53/50; 1; 21/20; 21/20; ; 1; 1; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 21/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 40/17; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 23/10
Cardiff; 13/5; 14/5; 29/10; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 13/5; 3; 59/20; 27/10; 3; 14/5; 37/13; 13/5; 13/5; 37/13; 31/10; 45/17; 13/5; 13/5; ; 14/5; 14/5; 14/5
META; english/championship/leeds-v-cardiff; 2017-02-09 13:30:44 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 53/50; 1; 21/20; 21/20; ; 1; 1; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 21/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 40/17; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 23/10
Cardiff; 13/5; 14/5; 29/10; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 13/5; 3; 59/20; 27/10; 3; 14/5; 37/13; 13/5; 13/5; 37/13; 31/10; 45/17; 13/5; 13/5; ; 14/5; 14/5; 14/5
META; english/championship/leeds-v-cardiff; 2017-02-09 13:47:30 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 53/50; 1; 21/20; 21/20; ; 1; 1; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 40/17; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 13/5; 14/5; 29/10; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 3; 14/5; 37/13; 13/5; 13/5; 37/13; 31/10; 45/17; 13/5; 13/5; ; 14/5; 14/5; 14/5
META; english/championship/leeds-v-cardiff; 2017-02-09 13:56:09 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 53/50; 1; 21/20; 21/20; ; 1; 1; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 5/2; 12/5; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 40/17; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 13/5; 14/5; 29/10; 14/5; 11/4; 14/5; 14/5; 11/4; 14/5; 14/5; 14/5; 3; 59/20; 27/10; 3; 14/5; 37/13; 13/5; 13/5; 37/13; 31/10; 45/17; 13/5; 13/5; ; 14/5; 14/5; 14/5
META; english/championship/leeds-v-cardiff; 2017-02-09 15:45:54 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 53/50; 1; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 9/4; 12/5; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10; 47/20; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 9/4; 12/5
Cardiff; 13/5; 14/5; 29/10; 14/5; 3; 14/5; 14/5; 11/4; 14/5; 3; 14/5; 3; 59/20; 27/10; 3; 14/5; 29/10; 13/5; 13/5; 29/10; 31/10; 45/17; 13/5; 13/5; ; 14/5; 11/4; 3
META; english/championship/leeds-v-cardiff; 2017-02-09 16:21:49 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 53/50; 1; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 9/4; 11/5; 9/4; 5/2; 12/5; 12/5; 9/4; 23/10; 11/5; 9/4; 23/10; 47/20; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 13/5; 29/10; 29/10; 14/5; 11/4; 14/5; 29/10; 11/4; 14/5; 3; 3; 3; 59/20; 27/10; 3; 14/5; 29/10; 13/5; 13/5; 29/10; 31/10; 45/17; 13/5; 11/4; ; 14/5; 3; 3
META; english/championship/leeds-v-cardiff; 2017-02-09 17:45:55 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 53/50; 1; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 5/2; 12/5; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 47/20; 5/2; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 12/5; 12/5
Cardiff; 13/5; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 3; 29/10; 14/5; 3; 14/5; 14/5; 13/5; 13/5; 14/5; 31/10; 45/17; 13/5; 13/5; ; 14/5; 14/5; 14/5
META; english/championship/leeds-v-cardiff; 2017-02-09 18:32:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 1; 1; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 53/50; 1; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 23/10; 9/4; 11/5; 11/5; 5/2; 12/5; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 12/5; 12/5
Cardiff; 13/5; 29/10; 14/5; 14/5; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 14/5; 3; 29/10; 14/5; 3; 14/5; 14/5; 13/5; 13/5; 14/5; 31/10; 45/17; 13/5; 13/5; ; 14/5; 14/5; 14/5
META; english/championship/leeds-v-cardiff; 2017-02-09 19:45:53 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 1; 1; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 19/20; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 1; ; 20/21; 20/21; 1
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 12/5; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 11/4; 29/10; 31/10; 16/5; 10/3; 3; 33/10; 11/4; 3; 16/5; 3; 16/5; 16/5; 3; 3; 31/10; 16/5; 11/4; 3; 16/5; 10/3; 14/5; 13/4; 14/5; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-09 20:20:40 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 1; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 10/11; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 1; ; 20/21; 20/21; 1
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 9/4; 12/5; 11/5; 23/10; 12/5; 12/5; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 11/4; 3; 31/10; 16/5; 10/3; 3; 33/10; 11/4; 3; 16/5; 16/5; 16/5; 16/5; 3; 3; 31/10; 16/5; 11/4; 3; 16/5; 10/3; 14/5; 13/4; 14/5; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-09 21:45:52 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 1; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 10/11; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 1; ; 20/21; 20/21; 1
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 11/4; 3; 31/10; 16/5; 10/3; 3; 33/10; 29/10; 3; 16/5; 16/5; 16/5; 16/5; 3; 3; 31/10; 16/5; 11/4; 3; 16/5; 10/3; 14/5; 13/4; 14/5; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-09 23:45:53 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 1; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 10/11; 19/20; 19/20; 1; 1; 1; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 1; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 12/5; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 11/4; 3; 31/10; 16/5; 10/3; 3; 33/10; 29/10; 3; 16/5; 16/5; 16/5; 16/5; 3; 3; 31/10; 16/5; 11/4; 3; 16/5; 10/3; 14/5; 13/4; 14/5; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 00:20:19 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 1; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 10/3; 3; 31/10; 16/5; 10/3; 3; 33/10; 29/10; 3; 16/5; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 00:48:14 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 1; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 10/3; 3; 31/10; 16/5; 10/3; 3; 33/10; 29/10; 3; 16/5; 16/5; 16/5; 10/3; 10/3; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 01:45:49 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 10/3; 3; 16/5; 16/5; 10/3; 3; 10/3; 29/10; 3; 10/3; 16/5; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 03:45:45 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 10/3; 3; 16/5; 16/5; 10/3; 3; 17/5; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 10/3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 04:20:28 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; ; 22/23; 10/11; 19/20; ; 20/21; 10/11; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 10/3; 3; 16/5; 16/5; 10/3; 3; 10/3; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; ; 14/5; 13/4; 3; ; 3; 10/3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 05:45:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 10/11; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 9/4; 12/5
Cardiff; 10/3; 3; 16/5; 16/5; 10/3; 3; 10/3; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 06:28:33 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 19/20; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 10/11; 20/21
Draw; 12/5; 9/4; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 9/4; 12/5
Cardiff; 10/3; 3; 16/5; 16/5; 10/3; 3; 10/3; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 07:45:48 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 10/11; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 10/11; 20/21
Draw; 12/5; 23/10; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 9/4; 12/5
Cardiff; 10/3; 16/5; 16/5; 16/5; 10/3; 3; 10/3; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 08:20:20 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 10/11; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 10/11; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 10/11; 20/21
Draw; 12/5; 23/10; 9/4; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 9/4; 12/5
Cardiff; 10/3; 16/5; 16/5; 16/5; 10/3; 3; 10/3; 29/10; 3; 10/3; 10/3; 16/5; 10/3; 17/5; 3; 16/5; 13/4; 11/4; 3; 13/4; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 09:45:46 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 1; 10/11; 19/20; 20/21; 10/11; 19/20; 1; 1; 1; 20/21; 10/11; 19/20; 19/20; 1; 1; 19/20; 19/20; 19/20; 10/11; 19/20; 1; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 23/10; 9/4; 11/5; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 10/3; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 29/10; 3; 16/5; 16/5; 16/5; 10/3; 17/5; 3; 16/5; 16/5; 11/4; 3; 16/5; 10/3; 14/5; 13/4; 3; ; 3; 3; 10/3
META; english/championship/leeds-v-cardiff; 2017-02-10 11:45:56 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 10/11; 10/11; 1; 1; 10/11; 10/11; 20/23; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 1; 15/16; 10/11; 10/11; ; 10/11; 10/11; 20/21
Draw; 12/5; 23/10; 23/10; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 10/3; 16/5; 7/2; 33/10; 17/5; 29/10; 3; 7/2; 10/3; 16/5; 10/3; 17/5; 10/3; 16/5; 17/5; 11/4; 3; 17/5; 10/3; 37/13; 13/4; 16/5; ; 10/3; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 12:20:47 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 10/11; 10/11; 20/21; 1; 10/11; 10/11; 20/23; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 1; 15/16; 10/11; 10/11; ; 10/11; 10/11; 10/11
Draw; 12/5; 23/10; 23/10; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 10/3; 16/5; 7/2; 33/10; 17/5; 29/10; 3; 7/2; 10/3; 16/5; 10/3; 17/5; 10/3; 10/3; 17/5; 11/4; 3; 17/5; 10/3; 37/13; 13/4; 16/5; ; 7/2; 3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 12:55:42 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 10/11; 10/11; 20/21; 1; 10/11; 10/11; 20/23; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 1; 15/16; 10/11; 10/11; ; 10/11; 10/11; 10/11
Draw; 12/5; 23/10; 23/10; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 49/20; 9/4; 23/10; 9/4; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 10/3; 16/5; 7/2; 33/10; 17/5; 29/10; 3; 7/2; 10/3; 16/5; 10/3; 17/5; 10/3; 10/3; 17/5; 11/4; 3; 17/5; 10/3; 37/13; 13/4; 16/5; ; 7/2; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 13:46:11 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 10/11; 10/11; 20/21; 1; 10/11; 10/11; 20/23; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 19/20; 15/16; 10/11; 19/20; ; 10/11; 10/11; 10/11
Draw; 12/5; 23/10; 23/10; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 10/3; 16/5; 7/2; 33/10; 17/5; 29/10; 3; 7/2; 10/3; 16/5; 10/3; 17/5; 10/3; 10/3; 17/5; 11/4; 3; 17/5; 7/2; 37/13; 13/4; 10/3; ; 7/2; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 15:46:06 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 1; 19/20; 20/21; 1; 10/11; 10/11; 20/23; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 19/20; 22/23; 10/11; 19/20; ; 10/11; 10/11; 20/21
Draw; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 47/20; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 40/17; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 16/5; 7/2; 10/3; 33/10; 17/5; 29/10; 3; 10/3; 10/3; 16/5; 7/2; 7/2; 10/3; 10/3; 57/17; 11/4; 3; 57/17; 7/2; 7/2; 13/4; 16/5; ; 7/2; 7/2; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 16:23:18 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 1; 19/20; 20/21; 1; 10/11; 20/21; 20/23; 20/21; ; 19/20; 19/20; 19/20; 10/11; 19/20; 10/11; 10/11; 19/20; 22/23; 10/11; 19/20; ; 20/21; 10/11; 20/21
Draw; 12/5; 23/10; 9/4; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; ; 12/5; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 5/2; 40/17; 23/10; 23/10; ; 23/10; 23/10; 12/5
Cardiff; 7/2; 16/5; 16/5; 7/2; 10/3; 16/5; 17/5; 29/10; 3; 16/5; 10/3; 16/5; ; 7/2; 10/3; 10/3; 57/17; 11/4; 3; 57/17; 7/2; 7/2; 13/4; 16/5; ; 7/2; 7/2; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 19:46:29 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 10/11; 19/20; 19/20; 1; 19/20; 1; 1; 10/11; 20/21; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 1; 19/20; 10/11; 19/20; 97/100; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 21/10; 47/20; 12/5; 9/4; 12/5; 9/4; 12/5; 23/10; 23/10; 5/2; 40/17; 23/10; 23/10; ; 9/4; 23/10; 23/10
Cardiff; 7/2; 16/5; 10/3; 7/2; 3; 16/5; 10/3; 29/10; 3; 16/5; 10/3; 10/3; 10/3; 7/2; 10/3; 10/3; 3; 11/4; 3; 41/13; 17/5; 7/2; 13/4; 16/5; ; 10/3; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 20:20:45 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 19/20; 19/20; 19/20; 1; 19/20; 1; 1; 10/11; 20/21; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 1; 19/20; 10/11; 19/20; 97/100; 22/23; 10/11; 19/20; ; 20/21; 20/21; 20/21
Draw; 12/5; 9/4; 9/4; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 21/10; 47/20; 12/5; 9/4; 12/5; 9/4; 12/5; 23/10; 23/10; 5/2; 40/17; 23/10; 23/10; ; 9/4; 23/10; 23/10
Cardiff; 7/2; 16/5; 10/3; 7/2; 3; 16/5; 10/3; 29/10; 3; 16/5; 10/3; 10/3; 10/3; 7/2; 10/3; 10/3; 3; 11/4; 3; 41/13; 17/5; 7/2; 13/4; 16/5; ; 10/3; 10/3; 7/2
META; english/championship/leeds-v-cardiff; 2017-02-10 21:45:48 GMT+2; 2017-02-11 15:00; e70300-dr003
Leeds; 19/20; 19/20; 19/20; 19/20; 1; 19/20; 1; 1; 1; 20/21; 10/11; 20/21; 19/20; 1; 19/20; 19/20; 19/20; 19/20; 10/11; 19/20; 97/100; 28/29; 10/11; 19/20; ; 20/21; 20/21; 20/21
