META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-05 04:22:34 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 24/5; 4; 9/2; 54/13; 9/2; 4; 54/13; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 21/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-10 23:46:48 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; ; 4/6; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; ; 3; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; ; 21/5; 4; 17/4; 4; 17/4; 4; 4; 24/5; 4; 9/2; 54/13; 9/2; 4; 54/13; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 00:22:17 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 00:51:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 17/4; ; 23/5; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 01:46:17 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 03:46:28 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; ; 7/10; 4/6; 4/6; ; 8/13; 4/7; ; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; ; 29/10; 14/5; 14/5; ; 27/10; 14/5; ; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; ; 24/5; 4; 9/2; ; 9/2; 4; ; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 04:21:38 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 5/8; 4/6; ; 4/6; 8/13; 4/6
Draw; 3; 14/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 29/10; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 4; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 05:46:23 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 5/8; 4/6; ; 4/6; 8/13; 4/6
Draw; 3; 13/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 57/20; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 9/2; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 17/4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 17/4; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 06:30:36 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 4/6; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 13/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 57/20; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 14/5; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 9/2; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 17/4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 9/2; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 07:46:20 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 7/10; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 8/13; 4/7; 4/6; 7/10; 9/13; 5/8; 4/6; ; 4/6; 4/6; 4/6
Draw; 3; 13/5; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 13/5; 57/20; 29/10; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 3; 27/10; 56/19; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 19/4; 9/2; 4; 9/2; 4; 4; 21/5; 4; 17/4; 4; 17/4; 4; 17/4; 24/5; 4; 9/2; 41/10; 9/2; 4; 41/10; 21/5; 43/10; 41/10; 9/2; ; 9/2; 21/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 08:22:01 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 4/6; 13/20; 4/6; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 4/6; 8/13; 4/6; 4/6; 13/20; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 19/29; 4/6; ; 8/13; 8/13; 4/7
Draw; 3; 13/5; 14/5; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 57/20; 29/10; 11/4; 14/5; 11/4; 27/10; 14/5; 11/4; 3; 27/10; 14/5; 11/4; ; 14/5; 14/5; 3
Shrewsbury; 19/4; 9/2; 17/4; 9/2; 9/2; 4; 22/5; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 5; 17/4; 9/2; 43/10; 9/2; 4; 43/10; 21/5; 9/2; 4; 9/2; ; 23/5; 9/2; 24/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 09:46:39 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 4/6; 8/13; 13/20; 4/6; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 4/6; 11/18; 8/13; 8/13; 11/18; 69/100; 4/6; 19/29; 8/13; ; 8/13; 8/13; 4/7
Draw; 3; 29/10; 14/5; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 29/10; 3; 11/4; 14/5; 14/5; 27/10; 14/5; 14/5; 31/10; 27/10; 14/5; 14/5; ; 14/5; 14/5; 3
Shrewsbury; 19/4; 17/4; 17/4; 9/2; 9/2; 4; 22/5; 4; 17/4; 9/2; 9/2; 9/2; 9/2; 5; 17/4; 9/2; 23/5; 9/2; 4; 23/5; 21/5; 9/2; 4; 9/2; ; 23/5; 24/5; 5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 11:47:13 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 7/10; 8/13; 4/6; 4/6; 8/11; 8/13; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 8/11; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 8/11; 4/6; 19/29; 7/10; ; 4/6; 4/6; 4/6
Draw; 29/10; 29/10; 11/4; 13/5; 3; 13/5; 3; 14/5; 14/5; 13/5; 14/5; 14/5; 57/20; 29/10; 11/4; 14/5; 27/10; 27/10; 14/5; 27/10; 59/20; 37/13; 14/5; 11/4; ; 14/5; 11/4; 14/5
Shrewsbury; 9/2; 17/4; 4; 9/2; 4; 4; 4; 4; 17/4; 4; 4; 4; 4; 9/2; 17/4; 9/2; 54/13; 9/2; 4; 54/13; 21/5; 21/5; 4; 9/2; ; 21/5; 21/5; 21/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 12:25:32 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 7/10; 8/13; 4/6; 4/6; 4/6; 8/13; 7/10; 4/6; 4/6; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 4/6; 4/6; 19/29; 4/6; ; 8/13; 4/6; 4/6
Draw; 29/10; 29/10; 14/5; 13/5; 3; 13/5; 29/10; 14/5; 14/5; 11/4; 3; 14/5; 57/20; 14/5; 11/4; 14/5; 27/10; 27/10; 14/5; 11/4; 59/20; 37/13; 14/5; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 9/2; 17/4; 4; 9/2; 9/2; 4; 21/5; 4; 17/4; 9/2; 17/4; 4; 4; 24/5; 17/4; 9/2; 54/13; 9/2; 4; 22/5; 24/5; 21/5; 4; 9/2; ; 9/2; 22/5; 23/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 13:10:24 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 7/10; 8/13; 13/20; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 7/10; 4/6; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 16/25; 11/17; 19/29; 4/6; ; 4/7; 8/13; 8/13
Draw; 29/10; 29/10; 14/5; 13/5; 3; 13/5; 29/10; 14/5; 14/5; 11/4; 14/5; 14/5; 57/20; 29/10; 3; 14/5; 27/10; 27/10; 14/5; 11/4; 3; 37/13; 14/5; 11/4; ; 14/5; 14/5; 14/5
Shrewsbury; 9/2; 17/4; 17/4; 9/2; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 4; 4; 5; 17/4; 9/2; 54/13; 9/2; 4; 22/5; 5; 22/5; 4; 9/2; ; 23/5; 22/5; 24/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 13:47:04 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 7/10; 4/6; 13/20; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; 13/20; 4/6; 8/13; 4/6; 4/6; 8/13; 4/7; 8/13; 16/25; 11/17; 7/12; 4/6; ; 4/7; 4/7; 4/6
Draw; 29/10; 29/10; 14/5; 13/5; 3; 13/5; 3; 14/5; 14/5; 11/4; 14/5; 14/5; 29/10; 29/10; 3; 14/5; 27/10; 27/10; 14/5; 11/4; 3; 37/13; 37/13; 11/4; ; 14/5; 3; 14/5
Shrewsbury; 9/2; 4; 17/4; 9/2; 9/2; 4; 17/4; 4; 17/4; 9/2; 9/2; 4; 4; 5; 17/4; 9/2; 54/13; 9/2; 24/5; 49/11; 5; 22/5; 24/5; 9/2; ; 23/5; 23/5; 24/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 15:46:40 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 7/10; 4/6; 13/20; 4/6; 8/11; 8/13; 13/20; 4/6; 4/6; 4/6; 8/13; 8/13; ; 13/20; 4/6; 4/6; 11/17; 8/13; 4/7; 11/17; 4/6; 4/6; 5/8; 4/6; ; 8/13; 8/13; 4/6
Draw; 29/10; 29/10; 14/5; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 3; 14/5; ; 29/10; 11/4; 14/5; 27/10; 27/10; 5/2; 27/10; 3; 29/10; 28/11; 11/4; ; 14/5; 3; 3
Shrewsbury; 9/2; 4; 17/4; 9/2; 4; 4; 22/5; 4; 17/4; 17/4; 17/4; 4; ; 5; 17/4; 9/2; 22/5; 9/2; 5; 22/5; 47/10; 41/10; 5; 9/2; ; 23/5; 22/5; 24/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 16:25:25 GMT+2; 2017-02-11 15:00; e70300-dr003
Scunthorpe; 7/10; 4/6; 13/20; 4/6; 8/11; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; ; 13/20; 4/6; 4/6; 11/17; 8/13; 4/7; 11/17; 4/6; 4/6; 5/8; 4/6; ; 4/6; 8/13; 4/6
Draw; 29/10; 29/10; 14/5; 13/5; 3; 13/5; 3; 14/5; 14/5; 14/5; 3; 14/5; ; 29/10; 11/4; 14/5; 27/10; 27/10; 5/2; 11/4; 3; 29/10; 28/11; 11/4; ; 14/5; 3; 14/5
Shrewsbury; 9/2; 4; 17/4; 9/2; 4; 4; 17/4; 4; 17/4; 17/4; 17/4; 4; ; 24/5; 17/4; 9/2; 22/5; 9/2; 5; 74/17; 47/10; 41/10; 5; 17/4; ; 9/2; 22/5; 23/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 17:47:01 GMT+2; 2017-02-11 15:00; In Play; e70300-dr003
Scunthorpe; 1; ; ; ; ; ; 1; 1; ; 11/10; 8/13; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; 
Draw; 13/8; ; ; ; ; ; 17/10; 8/5; ; 13/10; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; 
Shrewsbury; 9/2; ; ; ; ; ; 17/4; 9/2; ; 9/2; 21/5; 33/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; 
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-11 18:29:45 GMT+2; 2017-02-11 15:00; In Play; e70300-dr003
Scunthorpe; 13/8; 6/4; ; ; ; ; 31/20; 6/4; ; 13/8; 8/13; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; 
Draw; 10/11; 10/11; ; ; ; ; 20/21; 10/11; ; 4/5; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; 
Shrewsbury; 11/2; 5; ; ; ; ; 21/4; 5; ; 11/2; 21/5; 33/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; 
